,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,rank,DATE,Week,Free_Agent,did_not_play,Win_Loss
326,Craig Reynolds,Det,RB,W 34-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,Away,93.5,10-03-23,4,False,0,1
327,Cordarrelle Patterson,Atl,RB,L 7-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jax,Away,93.5,10-03-23,4,False,0,0
331,Tony Jones Jr.,Ari,RB,L 16-35,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,Away,93.5,10-03-23,4,False,0,0
333,Ty Chandler,Min,RB,W 21-13,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Car,Away,93.5,10-03-23,4,False,0,1
343,Sean Tucker,TB,RB,W 26-9,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,Away,93.5,10-03-23,4,False,0,1
344,Elijah Dotson,LAC,RB,W 24-17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,Home,93.5,10-03-23,4,False,0,1
345,Salvon Ahmed,Mia,RB,L 20-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Buf,Away,93.5,10-03-23,4,False,0,0
356,Boston Scott,Phi,RB,W 34-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wsh,Home,93.5,10-03-23,4,False,0,1
357,DeeJay Dallas,Sea,RB,W 24-3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,Away,93.5,10-03-23,4,False,0,1
359,Chris Evans,Cin,RB,L 3-27,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ten,Away,93.5,10-03-23,4,False,0,0
363,Ty Montgomery II,NE,RB,L 3-38,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dal,Away,93.5,10-03-23,4,False,0,0
380,Eric Gray,NYG,RB,L 3-24,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sea,Home,93.5,10-03-23,4,False,0,0
403,JaMycal Hasty,Jax,RB,W 23-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Atl,Home,93.5,10-03-23,4,False,0,1
410,Corey Clement,Ari,RB,L 16-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,Away,93.5,10-03-23,4,False,0,0
419,C.J. Ham,Min,RB,W 21-13,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Car,Away,93.5,10-03-23,4,False,0,1
421,Brandon Bolden,LV,RB,L 17-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,Away,93.5,10-03-23,4,False,0,0
428,Travis Homer,Chi,RB,L 28-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Den,Home,93.5,10-03-23,4,False,0,0
446,Reggie Gilliam,Buf,RB,W 48-20,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mia,Home,93.5,10-03-23,4,False,0,1
450,Chris Brooks,Mia,RB,L 20-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Buf,Away,93.5,10-03-23,4,False,0,0
458,Michael Burton,Den,RB,W 31-28,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chi,Away,93.5,10-03-23,4,False,0,1
483,Keith Smith,Atl,RB,L 7-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jax,Away,93.5,10-03-23,4,False,0,0
486,Andrew Beck,Hou,RB,W 30-6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Pit,Home,93.5,10-03-23,4,False,0,1
503,Adam Prentice,NO,RB,L 9-26,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,TB,Home,93.5,10-03-23,4,False,0,0
506,Khari Blasingame,Chi,RB,L 28-31,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Den,Home,93.5,10-03-23,4,False,0,0
523,Nick Bawden,NYJ,RB,L 20-23,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,Home,93.5,10-03-23,4,False,0,0
550,Dwayne Washington,Den,RB,W 31-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chi,Away,93.5,10-03-23,4,False,0,1
559,Royce Freeman,LAR,RB,W 29-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ind,Away,93.5,10-03-23,4,False,0,1
578,Derrick Gore,Wsh,RB,L 31-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phi,Away,93.5,10-03-23,4,False,0,0
614,D'Ernest Johnson,Jax,RB,W 23-7,2.7,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,Atl,Home,108.0,10-03-23,4,False,0,1
1009,Aaron Jones,GB,RB,W 38-20,15.5,0.0,0.0,0.0,9.0,41.0,1.0,2.0,86.0,1.0,4.0,0.0,0.0,0.0,26.7,0.0,0.0,Chi,Away,1.0,09-12-23,1,False,0,1
1010,Austin Ekeler,LAC,RB,L 34-36,17.9,0.0,0.0,0.0,16.0,117.0,1.0,4.0,47.0,0.0,5.0,0.0,0.0,0.0,26.4,0.0,0.0,Mia,Home,2.0,09-12-23,1,False,0,0
1012,Christian McCaffrey,SF,RB,W 30-7,17.3,0.0,0.0,0.0,22.0,152.0,1.0,3.0,17.0,0.0,5.0,0.0,0.0,0.0,25.9,0.0,0.0,Pit,Away,3.0,09-12-23,1,False,0,1
1013,Tyler Allgeier,Atl,RB,W 24-10,8.8,0.0,0.0,0.0,15.0,75.0,2.0,3.0,19.0,0.0,3.0,0.0,0.0,0.0,24.4,0.0,0.0,Car,Home,4.0,09-12-23,1,False,0,1
1020,Tony Pollard,Dal,RB,W 40-0,17.5,0.0,0.0,0.0,14.0,70.0,2.0,2.0,12.0,0.0,3.0,0.0,0.0,0.0,22.2,0.0,0.0,NYG,Away,5.0,09-12-23,1,False,0,1
1022,Travis Etienne Jr.,Jax,RB,W 31-21,15.1,0.0,0.0,0.0,18.0,77.0,1.0,5.0,27.0,0.0,5.0,0.0,0.0,0.0,21.4,0.0,0.0,Ind,Away,6.0,09-12-23,1,False,0,1
